iteration,total_sp,total_count,prod_sp,prod_count,mut_prod_sp,mut_prod_count,herb_sp,herb_count,mut_sp,mut_count,prim_pred_sp,prim_pred_count,sec_pred_sp,sec_pred_count,shannon_index,shannon_eq,shannon_index_prods,shannon_eq_prods,shannon_index_herbs,shannon_eq_herbs,shannon_index_interm,shannon_eq_interm,shannon_index_top,shannon_eq_top
1969,60,38118,11,7477,5,7481,8,3061,8,7060,23,10241,5,2798,4.114528855761065,0.6965642564668479,2.357525418093308,0.589381354523327,1.6588532863578473,0.41471332158946184,2.9598763244193065,0.6543242588854246,1.7734310470898282,0.7637751793411407
1970,60,38221,11,7498,5,7527,8,3086,8,7101,23,10203,5,2806,4.111737894859342,0.696091764068936,2.3582374423928703,0.5895593605982176,1.6604057287738903,0.41510143219347256,2.954574467748597,0.6531522053748917,1.7738659482988468,0.7639624810969428
1971,60,38175,11,7510,5,7463,8,3103,8,7107,23,10182,5,2810,4.112096312045125,0.696152441879026,2.3561020538535367,0.5890255134633842,1.6659695335101332,0.4164923833775333,2.9530215493082,0.6528089098799957,1.7760665327376155,0.7649102212287816
1972,60,38116,11,7510,5,7434,8,3126,8,7063,23,10183,5,2800,4.11312380631298,0.6963263902959171,2.353084523232924,0.588271130808231,1.6722272310971882,0.41805680777429705,2.954881218822868,0.6532200172181363,1.7731899983071755,0.7636713652811
1973,60,38139,11,7536,5,7417,8,3159,8,7051,23,10174,5,2802,4.1108144290021675,0.6959354270177874,2.3544718494965404,0.5886179623741351,1.6695484036372752,0.4173871009093188,2.9500020347071483,0.6521414017016213,1.7685619183712682,0.7616781597438149
1974,60,38166,11,7535,5,7448,8,3160,8,7031,23,10183,5,2809,4.106653334997138,0.6952309795698997,2.350069494775396,0.587517373693849,1.6619604680949343,0.41549011702373356,2.94698128097963,0.6514736195960896,1.768752297354558,0.7617601515090677
1975,60,38121,11,7545,5,7380,8,3174,8,7004,23,10208,5,2810,4.10953193622197,0.6957183089318099,2.3502622912790314,0.5875655728197579,1.6630890741678033,0.4157722685419508,2.9524460245151345,0.6526816816473207,1.7648452374231072,0.760077472385604
1976,60,38227,11,7552,5,7408,8,3223,8,7017,23,10228,5,2799,4.109736246610095,0.6957528974153475,2.349548265045412,0.587387066261353,1.6633455609405727,0.4158363902351432,2.9606729592022907,0.6545003667382013,1.7578420565359907,0.7570613665455753
1977,60,38260,11,7565,5,7416,8,3246,8,7009,23,10222,5,2802,4.1097694828602265,0.6957585241066826,2.351914851129584,0.587978712782396,1.6612862556561496,0.4153215639140374,2.9628165792043206,0.6549742455140098,1.7514306455106905,0.7543001221128053
1978,60,38277,11,7578,5,7401,8,3277,8,7033,23,10190,5,2798,4.108882054368125,0.6956082879582831,2.3506217053307834,0.5876554263326959,1.6619825240346957,0.4154956310086739,2.9658114981420427,0.6556363164587246,1.7540233999140262,0.7554167606551635
1979,60,38276,11,7586,5,7397,8,3333,8,7025,23,10144,5,2791,4.102724001833686,0.6945657677973347,2.3500297925626845,0.5875074481406711,1.6534204280472218,0.41335510701180544,2.9597582410823104,0.6542981548244781,1.752945927926461,0.7549527187281384
1980,60,38290,11,7598,5,7358,8,3378,8,7050,23,10115,5,2791,4.100792133572957,0.6942387144636967,2.352118771501375,0.5880296928753438,1.6508585016639972,0.4127146254159993,2.9560493486918644,0.6534782495315972,1.7567171590417385,0.7565768995645654
1981,60,38340,11,7619,5,7368,8,3437,8,7015,23,10120,5,2781,4.101115499762811,0.6942934583572257,2.354762778683553,0.5886906946708883,1.6540664711241229,0.4135166177810307,2.953772779532863,0.6529749803863711,1.7562631426044175,0.7563813653280312
1982,60,38293,11,7622,5,7336,8,3460,8,6977,23,10117,5,2781,4.098033025413347,0.6937716145377794,2.35269249323421,0.5881731233085525,1.652012257676482,0.4130030644191205,2.9482700329995875,0.6517585172127194,1.7463582087269511,0.7521155424977395
1983,60,38291,11,7617,5,7337,8,3485,8,6961,23,10118,5,2773,4.095991326711327,0.6934259675905449,2.3493195937974773,0.5873298984493693,1.6507513777779126,0.41268784444447815,2.9492773310372544,0.6519811952808994,1.7425804825964113,0.7504885644104947
1984,60,38272,11,7624,5,7325,8,3507,8,6950,23,10098,5,2768,4.09521609101111,0.6932947249870687,2.3488216378091695,0.5872054094522924,1.6503256004481286,0.41258140011203215,2.951073396905286,0.6523782420961036,1.7393642149653281,0.7491033933372969
1985,60,38307,11,7629,5,7332,8,3543,8,6932,23,10104,5,2767,4.09671474346757,0.6935484375676899,2.3490084116367353,0.5872521029091838,1.6593086626978042,0.41482716567445105,2.9478473098612383,0.6516650680365048,1.7411295095287864,0.7498636643238727
1986,60,38298,11,7627,5,7334,8,3574,8,6923,23,10085,5,2755,4.093745911914292,0.6930458327699162,2.347442797501683,0.5868606993754207,1.6592432203751355,0.4148108050937839,2.9427745423981424,0.6505436580696747,1.7433299754315883,0.7508113534050493
1987,60,38310,11,7642,5,7312,8,3623,8,6943,23,10040,5,2750,4.09252983323255,0.6928399581795445,2.3510160254208516,0.5877540063552129,1.66621865789833,0.4165546644745825,2.934174607103227,0.6486425157003521,1.740264508311045,0.7494911285766866
1988,60,38360,11,7669,5,7287,8,3686,8,6967,23,10000,5,2751,4.0892965024301136,0.6922925752967735,2.3532846362092226,0.5883211590523056,1.6597843219703825,0.4149460804925956,2.9333625372508174,0.6484629956981287,1.7398909193873908,0.7493302325849129
1989,60,38381,11,7688,5,7270,8,3720,8,7004,23,9946,5,2753,4.087340012699508,0.6919613537007514,2.355550835298254,0.5888877088245635,1.6597209236067436,0.4149302309016859,2.9303320919614553,0.6477930711301001,1.741273473653688,0.7499256662976714
1990,60,38370,11,7707,5,7260,8,3738,8,7010,23,9904,5,2751,4.089722942319677,0.6923647689293896,2.3575019713912586,0.5893754928478147,1.6646189355370975,0.4161547338842744,2.9387803353797106,0.6496606797757478,1.7338906566454042,0.746746060079658
1991,60,38342,11,7719,5,7263,8,3767,8,6977,23,9862,5,2754,4.0893977436447155,0.6923097148074794,2.357578236975222,0.5893945592438055,1.6646561694591018,0.41616404236477544,2.9388870557764806,0.6496842718913873,1.740318978732668,0.749514587710388
1992,60,38357,11,7725,5,7250,8,3810,8,7022,23,9806,5,2744,4.085578051684837,0.6916630646117371,2.35774409936126,0.589436024840315,1.662709974131526,0.4156774935328815,2.9376182332928895,0.6494037799923227,1.7382440118029505,0.7486209480949811
1993,60,38411,11,7750,5,7266,8,3847,8,7038,23,9768,5,2742,4.083143221624304,0.6912508629599335,2.358713869167617,0.5896784672919042,1.662595484012284,0.415648871003071,2.935992224167336,0.6490443267248868,1.7347311028539012,0.7471080205599794
1994,60,38487,11,7766,5,7271,8,3871,8,7062,23,9781,5,2736,4.0845734923259425,0.6914929989329108,2.3579936119084084,0.5894984029771021,1.6697104924041355,0.4174276231010339,2.9379830978803296,0.6494844386836338,1.7359440306827842,0.7476304001425141
1995,60,38545,11,7776,5,7254,8,3909,8,7086,23,9786,5,2734,4.0862366798862455,0.6917745662877455,2.3584802994062133,0.5896200748515533,1.673669816935404,0.418417454233851,2.9422558500224474,0.6504289934799701,1.7377651062544284,0.7484146947017014
1996,60,38578,11,7783,5,7250,8,3954,8,7094,23,9761,5,2736,4.085096864009838,0.6915816025180669,2.3566064434475194,0.5891516108618798,1.674880818048193,0.4187202045120483,2.9454665974605354,0.6511387764937273,1.7343497082797916,0.746943762857534
1997,60,38662,11,7799,5,7251,8,3991,8,7166,23,9727,5,2728,4.081141219035071,0.6909119363187796,2.35732658954226,0.589331647385565,1.67667318373497,0.4191682959337425,2.9378726488884253,0.6494600223071196,1.735670311132923,0.7475125155489025
1998,60,38749,11,7808,5,7243,8,4057,8,7234,23,9691,5,2716,4.078735742706354,0.6905047040720024,2.3555822129394777,0.5888955532348694,1.6791625565864075,0.41979063914660186,2.942703645127451,0.65052798518371,1.7319298021887373,0.7459015660313779
1999,60,38867,11,7822,5,7246,8,4128,8,7287,23,9671,5,2713,4.081416376793334,0.6909585188233663,2.359896516078921,0.5899741290197302,1.6865262254991529,0.4216315563747882,2.946818325640427,0.6514375959181151,1.7396267051077268,0.7492164416883533
2000,60,38887,11,7828,5,7208,8,4159,8,7310,23,9668,5,2714,4.081655818156434,0.690999054763422,2.357481611178916,0.589370402794729,1.6871860356931512,0.4217965089232878,2.953804745944385,0.652982047032486,1.7375574564622647,0.7483252648039277
2001,60,38994,11,7830,5,7248,8,4203,8,7360,23,9645,5,2708,4.079309359918711,0.6906018139139865,2.3523530631286884,0.5880882657821721,1.6951357110578607,0.42378392776446516,2.9534876741965155,0.6529119536523247,1.7379264660164842,0.7484841885686352
2002,60,39105,11,7847,5,7213,8,4285,8,7416,23,9645,5,2699,4.082802901243347,0.6911932488268377,2.3539834652644775,0.5884958663161194,1.7086836146530637,0.42717090366326593,2.957332643211654,0.6537619406874287,1.7422220770780055,0.7503342075554331
2003,60,39120,11,7862,5,7176,8,4348,8,7443,23,9596,5,2695,4.079426957981678,0.6906217225378324,2.3536195411965934,0.5884048852991484,1.7065060252374118,0.42662650630935295,2.9568912119336908,0.6536643558013917,1.7433906245616064,0.7508374735636157
2004,60,39176,11,7889,5,7159,8,4368,8,7472,23,9595,5,2693,4.079081644833253,0.6905632631601216,2.3526808482490895,0.5881702120622724,1.7079136947768028,0.4269784236942007,2.959194971880066,0.6541736358706721,1.7436989306365014,0.7509702537627846
2005,60,39188,11,7902,5,7144,8,4357,8,7509,23,9588,5,2688,4.0806726157762,0.6908326046888321,2.3513097364812645,0.5878274341203161,1.7145492479699307,0.4286373119924827,2.9639285109839224,0.6552200544120427,1.7396000813947077,0.7492049754792671
2006,60,39265,11,7925,5,7136,8,4382,8,7536,23,9597,5,2689,4.081852837867941,0.6910324089805552,2.3514338543064395,0.5878584635766099,1.7144411981974716,0.4286102995493679,2.972414766201657,0.6570960661258585,1.7370983062228758,0.7481275195591891
2007,60,39316,11,7936,5,7126,8,4424,8,7553,23,9603,5,2674,4.081242488660371,0.6909290806392407,2.347804664202049,0.5869511660505122,1.720254702621614,0.4300636756554035,2.974498147653819,0.6575566282829375,1.7360166725680801,0.7476616852996454
2008,60,39332,11,7950,5,7134,8,4414,8,7567,23,9594,5,2673,4.080907375399801,0.690872348039382,2.34804719828793,0.5870117995719825,1.7188703482367005,0.4297175870591751,2.975942702060264,0.6578759683119849,1.7382821032924871,0.7486373532065866
2009,60,39432,11,7956,5,7125,8,4448,8,7590,23,9638,5,2675,4.084888158026389,0.6915462698874602,2.3475108726826432,0.5868777181706608,1.7211433663610658,0.43028584159026645,2.989596642701706,0.6608943730059141,1.7375623685178838,0.7483273803111348
2010,60,39474,11,7968,5,7077,8,4508,8,7626,23,9621,5,2674,4.083843642621473,0.6913694398974664,2.3486453546757566,0.5871613386689392,1.7226589553818337,0.4306647388454584,2.9897811405916825,0.6609351589820472,1.7336612975202181,0.7466472804810602
